4K专区,#genre#
CCTV-4中文国际,http://60.4.28.155:8077/rtp/239.253.93.134:6631
CCTV-4中文国际,http://60.4.28.155:8077/rtp/239.253.93.192:6370
CCTV-4中文国际,http://39.77.95.74:4002/rtp/239.253.254.187:8000
CCTV-4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?netType=4&pid=2028597139&timestamp=20260512222145&Channel_ID=0116_2600037000-99000-200300220104197&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=113.6.228.246&SecurityKey=20260512222145&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.4.2-RELEASE&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0
CCTV-5,https://www.freetv.top/migu/641886683.m3u8
CCTV-5+,https://www.freetv.top/migu/641886773.m3u8
CCTV-6电影,https://live.ottiptv.cc/mcp/cctv6.m3u8
CCTV-6电影,http://221.220.133.100:8012/rtp/239.3.1.174:8001
CCTV-7国防军事,http://220.176.218.151:9000/udp/239.252.220.185:5140
CCTV-7国防军事,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/51/index.m3u8?netType=4&pid=2028597139&timestamp=20260512221914&Channel_ID=0116_2600037000-99000-200300220104193&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=113.6.228.243&SecurityKey=20260512221914&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-9.4.2-RELEASE&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0
CCTV-8电视剧,http://221.220.133.100:8012/rtp/239.3.1.175:8001
CCTV-9纪录,https://live.ottiptv.cc/mcp/cctv9.m3u8
CCTV-9纪录,http://124.112.240.102:4022/rtp/238.1.78.240:7792
CCTV-10科教,http://221.220.133.100:8012/rtp/239.3.1.63:8116
CCTV-11戏曲,https://live.ottiptv.cc/mcp/cctv11.m3u8
CCTV-11戏曲,http://114.226.212.167:8787/rtp/239.49.1.11:6000
CCTV-12社会与法,http://114.226.212.167:8787/rtp/239.49.8.55:9822
CCTV-13新闻,http://221.220.133.100:8012/rtp/239.3.1.124:8128
CCTV-14少儿,http://221.220.133.100:8012/rtp/239.3.1.65:8132
CCTV-15音乐,http://221.220.133.100:8012/rtp/239.3.1.153:8136
CCTV-17农业农村,https://live.ottiptv.cc/mcp/cctv17.m3u8
CCTV-17农业农村,http://221.220.133.100:8012/rtp/239.3.1.151:8144
CCTV-17农业农村,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/51/index.m3u8?netType=4&pid=2028597139&timestamp=20260512221652&Channel_ID=0116_2600037000-99000-200300220104189&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=125.211.195.120&SecurityKey=20260512221652&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-9.4.2-RELEASE&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0
CCTV,http://223.105.252.59/PLTV/4/224/3221228314/index.m3u8?servicetype=1
重庆社会与法,http://home.scanflove.com:7788/rtp/235.254.196.210:1112$重庆cmc3+
江苏综艺频道,http://114.238.59.183:4000/rtp/239.49.8.108:8000
江苏新闻频道,http://114.226.212.170:8787/rtp/239.49.8.120:8000
CCTV女性时尚,http://124.112.240.102:4022/rtp/238.1.79.55:4576
CCTV世界地理,http://124.112.240.102:4022/rtp/238.1.79.60:4616
CCTV风云音乐,http://124.112.240.102:4022/rtp/238.1.79.64:4648
CETV-1,http://124.112.240.102:4022/rtp/238.1.78.158:7136
泗县新闻频道,http://124.112.240.102:4022/rtp/238.1.78.193:7416
亳州综合频道,http://124.112.240.102:4022/rtp/238.1.78.128:6896
CCTV央视台球,http://220.176.218.151:9000/udp/239.252.219.80:5140
CCTV电视指南,http://60.4.28.155:8077/rtp/239.253.93.249:6427
CCTV风云足球,http://60.4.28.155:8077/rtp/239.253.93.254:6432
CCTV央视文化精品,http://60.4.28.155:8077/rtp/239.253.93.175:6439
CCTV高尔夫网球,http://60.4.28.155:8077/rtp/239.253.93.122:6465
邢台综合频道,http://60.4.28.155:8077/rtp/239.253.93.8:6161
兴隆综合频道,http://60.4.28.155:8077/rtp/239.253.93.104:6271
康保综合频道,http://60.4.28.155:8077/rtp/239.253.93.165:6333
三河综合频道,http://60.4.28.155:8077/rtp/239.253.93.143:6311
成安综合频道,http://60.4.28.155:8077/rtp/239.253.93.178:6346
临城新闻频道,http://60.4.28.155:8077/rtp/239.253.93.167:6335
柏乡综合频道,http://60.4.28.155:8077/rtp/239.253.93.171:6339
安平综合频道,http://60.4.28.155:8077/rtp/239.253.93.36:6189
景县综合频道,http://60.4.28.155:8077/rtp/239.253.93.38:6191
深泽综合频道,http://121.29.215.217:2083/rtp/239.253.94.31:6630
平泉综合频道,http://121.29.215.217:2083/rtp/239.253.92.156:6012
隆化综合频道,http://121.29.215.217:2083/rtp/239.253.93.174:6342
滦南综合频道,http://121.29.215.217:2083/rtp/239.253.92.218:6100
玉田综合频道,http://121.29.215.217:2083/rtp/239.253.92.118:6133
井陉综合频道,http://121.29.215.217:2083/rtp/239.253.93.205:6383
CETV1,http://121.29.215.217:2083/rtp/239.253.92.211:6069
CETV早期教育,http://121.29.215.217:2083/rtp/239.253.93.164:6440
卫视频道,#genre#
湖南卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140
浙江卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.65:5140
江苏卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.64:5140
山东卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.66:5140
四川卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.62:5140
北京卫视4K,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140
CCT广东体育,http://ymz.stkeyu.top:8303/rtp/239.77.0.112:5146$
东南卫视-MCP,https://live.ottiptv.cc/mcp/dongnan.m3u8
东方卫视-MCP,https://live.ottiptv.cc/mcp/dongfang.m3u8
内蒙古卫视-MCP,https://live.ottiptv.cc/mcp/neimenggu.m3u8
四川卫视-MCP,https://live.ottiptv.cc/mcp/sichuan.m3u8
天津卫视-MCP,https://live.ottiptv.cc/mcp/tianjing.m3u8
山东卫视-MCP,https://live.ottiptv.cc/mcp/shandong.m3u8
广西卫视-MCP,https://live.ottiptv.cc/mcp/guangxi.m3u8
安徽卫视-MCP,https://live.ottiptv.cc/mcp/anhui.m3u8
贵州卫视-MCP,https://live.ottiptv.cc/mcp/guizhou.m3u8
江西卫视-MCP,https://live.ottiptv.cc/mcp/jiangxi.m3u8
湖北卫视-MCP,https://live.ottiptv.cc/mcp/hubei.m3u8
新疆卫视-MCP,https://live.ottiptv.cc/mcp/xinjiang.m3u8
七龙珠,https://live.ottiptv.cc/huya/11601966
江苏卫视-MCP,https://live.ottiptv.cc/mcp/jiangsu.m3u8
任丘综合,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8
连云港新闻综合,https://mgtv.ottiptv.cc/mg/639731715.m3u8
东南卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/dongnanws/51/20230724/index.m3u8?netType=4&pid=2028597139&timestamp=20260512221136&Channel_ID=0116_2600037000-99000-200300220104181&ProgramID=849116810&ParentNodeID=-99&assertID=5910022182&client_ip=113.6.228.160&SecurityKey=20260512221136&mvid=5900006229&mcid=500020&playurlVersion=WX-A1-9.4.2-RELEASE&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0
💚辽宁卫视,http://k.061899.xyz/k.php?id=lnws
深圳卫视,http://111.221.137.234:44330/tsfile/live/1013_1.m3u8?playlive=0&authid=0
天津新闻,http://60.30.67.45:8834/udp/225.1.1.130:5002$天津联通
天津科教,http://60.30.67.45:8834/udp/225.1.1.129:5002$天津联通
重庆光影,http://home.scanflove.com:7788/rtp/235.254.198.91:1640$重庆cmc3+
重庆军事,http://home.scanflove.com:7788/rtp/235.254.198.83:1608$重庆cmc3+
重庆解密,http://home.scanflove.com:7788/rtp/235.254.198.82:1604$重庆cmc3+
重庆精选,http://home.scanflove.com:7788/rtp/235.254.198.81:1600$重庆cmc3+
北京卡酷少儿,http://114.254.84.173:8888/rtp/239.3.1.189:8000
北京体育休闲,http://114.254.84.173:8888/rtp/239.3.1.243:8000
北京国际频道,http://114.254.84.173:8888/rtp/239.3.1.235:8000
北京生活频道,http://221.220.133.100:8012/rtp/239.3.1.117:8000
云南卫视,http://221.220.133.100:8012/rtp/239.3.1.26:8108
江苏城市频道,http://114.238.59.183:4000/rtp/239.49.8.107:8000
江西卫视,http://114.238.59.183:4000/rtp/239.49.8.185:6000
辽宁卫视,http://114.238.59.183:4000/rtp/239.49.8.48:8000
江苏体育休闲,http://114.226.212.170:8787/rtp/239.49.8.117:8000
江苏教育频道,http://114.226.212.170:8787/rtp/239.49.8.122:8000
江苏国际频道,http://114.226.212.170:8787/rtp/239.49.1.23:6000
广东卫视,http://114.226.212.170:8787/rtp/239.49.8.143:6000
河北卫视,http://114.226.212.170:8787/rtp/239.49.8.188:6000
